state,county,county_clean,year,avg_temp
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2014,9.855414137507125
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2015,11.906059406082647
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2016,12.865668513129606
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2017,13.052262301151359
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2018,11.756009143130143
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2019,11.637208056095915
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2020,12.381490886339122
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2021,12.353918505095749
ILLINOIS,CHAMPAIGN,CHAMPAIGN,2022,11.694596524893313
ILLINOIS,CHRISTIAN,CHRISTIAN,2013,11.832842119433337
ILLINOIS,CHRISTIAN,CHRISTIAN,2014,10.687975435548367
ILLINOIS,CHRISTIAN,CHRISTIAN,2015,12.683403967378922
ILLINOIS,CHRISTIAN,CHRISTIAN,2016,13.473589852764405
ILLINOIS,CHRISTIAN,CHRISTIAN,2017,13.75225663605994
ILLINOIS,CHRISTIAN,CHRISTIAN,2018,12.554536226841662
ILLINOIS,CHRISTIAN,CHRISTIAN,2019,12.327757636148533
ILLINOIS,CHRISTIAN,CHRISTIAN,2020,12.733737928305345
ILLINOIS,CHRISTIAN,CHRISTIAN,2021,13.023862624849187
ILLINOIS,CHRISTIAN,CHRISTIAN,2022,12.134475631851728
ILLINOIS,CLARK,CLARK,2013,11.895342368084243
ILLINOIS,CLARK,CLARK,2014,10.886815830623732
ILLINOIS,CLARK,CLARK,2015,12.76505098738943
ILLINOIS,CLARK,CLARK,2016,13.53099314697198
ILLINOIS,CLARK,CLARK,2017,13.839194855081587
ILLINOIS,CLARK,CLARK,2018,12.883174038965421
ILLINOIS,CLARK,CLARK,2019,12.760241698409288
ILLINOIS,CLARK,CLARK,2020,13.27223502902757
ILLINOIS,CLARK,CLARK,2021,13.39353396509631
ILLINOIS,CLARK,CLARK,2022,12.539459063420452
ILLINOIS,CLAY,CLAY,2013,12.878221973832524
ILLINOIS,CLAY,CLAY,2014,11.98515496506684
ILLINOIS,CLAY,CLAY,2015,13.747997260659815
ILLINOIS,CLAY,CLAY,2016,14.542231877576683
ILLINOIS,CLAY,CLAY,2017,14.894332451384685
ILLINOIS,CLAY,CLAY,2018,13.851797801419991
ILLINOIS,CLAY,CLAY,2019,13.728093919337937
ILLINOIS,CLAY,CLAY,2020,14.062107316309323
ILLINOIS,CLAY,CLAY,2021,14.348040639862461
ILLINOIS,CLAY,CLAY,2022,13.530977873586153
ILLINOIS,CLINTON,CLINTON,2013,13.171753491341633
ILLINOIS,CLINTON,CLINTON,2014,12.307054997189027
ILLINOIS,CLINTON,CLINTON,2015,14.001601271813911
ILLINOIS,CLINTON,CLINTON,2016,14.871677661887361
ILLINOIS,CLINTON,CLINTON,2017,15.157610777066964
ILLINOIS,CLINTON,CLINTON,2018,14.022547161193472
ILLINOIS,CLINTON,CLINTON,2019,13.892920905213032
ILLINOIS,CLINTON,CLINTON,2020,14.195130658606786
ILLINOIS,CLINTON,CLINTON,2021,14.514262178312777
ILLINOIS,CLINTON,CLINTON,2022,13.760155737116634
ILLINOIS,COLES,COLES,2013,11.606963740470803
ILLINOIS,COLES,COLES,2014,10.501192084058744
ILLINOIS,COLES,COLES,2015,12.47622851399285
ILLINOIS,COLES,COLES,2016,13.283505393099972
ILLINOIS,COLES,COLES,2017,13.57828294585596
ILLINOIS,COLES,COLES,2018,12.493298620536905
ILLINOIS,COLES,COLES,2019,12.324298398144776
ILLINOIS,COLES,COLES,2020,12.865733869178428
ILLINOIS,COLES,COLES,2021,13.071514037795964
ILLINOIS,COLES,COLES,2022,12.217444209368978
ILLINOIS,COOK,COOK,2013,9.615937307831246
ILLINOIS,COOK,COOK,2014,7.962909404735171
ILLINOIS,COOK,COOK,2015,9.718478830362585
ILLINOIS,COOK,COOK,2016,11.005710172856425
ILLINOIS,COOK,COOK,2017,10.668805161337673
ILLINOIS,COOK,COOK,2018,9.681574738469578
ILLINOIS,COOK,COOK,2019,9.359623108610776
ILLINOIS,COOK,COOK,2020,10.623434735846047
ILLINOIS,COOK,COOK,2021,11.098135845520574
ILLINOIS,COOK,COOK,2022,9.9490976669328
ILLINOIS,CRAWFORD,CRAWFORD,2013,12.391415871686661
ILLINOIS,CRAWFORD,CRAWFORD,2014,11.511873236476902
ILLINOIS,CRAWFORD,CRAWFORD,2015,13.292716002459372
ILLINOIS,CRAWFORD,CRAWFORD,2016,14.046314148025544
ILLINOIS,CRAWFORD,CRAWFORD,2017,14.385780274449132
